sku,gross_quantity,cancelled_quantity,cancelled_revenue_local,gross_revenue_local,cancel_rate_qty,cancel_rate_revenue
AN212-WHITE-L,1,0,0.0,322.0,0.0,0.0
AN212-WHITE-M,1,0,0.0,312.0,0.0,0.0
AN212-WHITE-S,1,0,0.0,312.0,0.0,0.0
AN212-WHITE-XL,2,0,0.0,644.0,0.0,0.0
AN212-WHITE-XXL,1,0,0.0,322.0,0.0,0.0
AN213-BROWN-L,4,0,286.67,1490.67,0.0,0.1923094984134651
AN213-BROWN-M,1,0,286.67,587.6700000000001,0.0,0.4878077832797318
AN213-BROWN-S,8,0,0.0,2264.0,0.0,0.0
AN213-BROWN-XL,1,0,0.0,301.0,0.0,0.0
BL001-50PINK,1,0,0.0,419.0,0.0,0.0
BL003-50BLACK,2,0,0.0,838.0,0.0,0.0
BL003-50BLACK-B,6,0,399.05,2906.05,0.0,0.1373169766521567
BL004-50CHIKU-B,1,0,0.0,419.0,0.0,0.0
BL006-54BLACK,6,0,364.76,2687.76,0.0,0.135711521862071
BL006-54BLACK-B,1,0,0.0,383.0,0.0,0.0
BL007-61PINK-B,3,1,339.0,1017.0,0.3333333333333333,0.3333333333333333
BL008-61RED-B,2,0,0.0,678.0,0.0,0.0
BL009-61BLACK,515,0,0.0,2897.0,0.0,0.0
BL009-61BLACK-B,15,0,322.86,5587.86,0.0,0.05777882767284793
BL010-61CHIKU-B,2,0,0.0,838.0,0.0,0.0
BL011-62PINK,286,0,0.0,309.0,0.0,0.0
BL011-62PINK-B,1,0,0.0,372.0,0.0,0.0
BL013-62BLACK,297,1,377.0,4887.0,0.003367003367003367,0.07714344178432576
BL014,286,0,0.0,285.0,0.0,0.0
BL015-63PINK,2,0,0.0,758.0,0.0,0.0
BL016-63RED-B,1,0,0.0,385.0,0.0,0.0
BL017-63BLACK,16,0,0.0,379.0,0.0,0.0
BL017-63BLACK-B,1,0,0.0,379.0,0.0,0.0
BL019-71PINK,2,0,0.0,837.0,0.0,0.0
BL019-71PINK-B,2,0,398.1,1236.1,0.0,0.32206132189952275
BL020-71RED,1130,0,0.0,1336.0,0.0,0.0
BL020-71RED-B,1,0,0.0,419.0,0.0,0.0
BL021-71BLACK,42,6,2511.0,16745.0,0.14285714285714285,0.14995521051060018
BL021-71BLACK-B,2,0,399.05,1237.05,0.0,0.3225819489915525
BL022-71BEIGE,5,0,0.0,2094.0,0.0,0.0
BL023-74PINK,334,0,0.0,411.0,0.0,0.0
BL023-74PINK-B,1,0,0.0,383.0,0.0,0.0
BL024-74RED,335,0,0.0,829.0,0.0,0.0
BL024-74RED-B,2,0,0.0,771.0,0.0,0.0
BL025-74BLACK,335,0,0.0,867.0,0.0,0.0
BL025-74BLACK-B,5,0,0.0,1920.0,0.0,0.0
BL026-74BEIGE,335,0,0.0,806.0,0.0,0.0
BL026-74BEIGE-B,2,0,0.0,766.0,0.0,0.0
BL029-78BLACK,1,0,399.05,818.05,0.0,0.4878063688038629
BL029-78BLACK-B,4,0,0.0,1676.0,0.0,0.0
BL030-78BEIGE,1128,0,0.0,1176.0,0.0,0.0
BL035-161GOLD,20,0,0.0,7505.0,0.0,0.0
BL036-176GOLD,9,0,796.2,4561.2,0.0,0.17455932649302816
BL041-65RED-A,5,0,364.76,2299.76,0.0,0.15860785473266772
BL050-83RED,315,0,0.0,384.0,0.0,0.0
BL050-83RED-A,1,0,0.0,379.0,0.0,0.0
BL053-153GOLD-A,2,0,0.0,764.0,0.0,0.0
BL055-164GOLD,315,0,0.0,649.0,0.0,0.0
BL055-164GOLD-A,2,0,0.0,758.0,0.0,0.0
BL056-185GOLD,1,0,0.0,383.0,0.0,0.0
BL057-65BLACK-A,15,0,1256.1799999999998,7186.18,0.0,0.1748049728784973
BL060-75RED,1,0,0.0,419.0,0.0,0.0
BL073-85BLACK,1,0,0.0,429.0,0.0,0.0
BL074-85RED,1,0,0.0,429.0,0.0,0.0
BL075-85CHIKU,1,0,0.0,436.0,0.0,0.0
BL078-87BLACK,1216,0,0.0,1244.0,0.0,0.0
BL079-87RED,2,0,0.0,865.0,0.0,0.0
BL084-187GOLD,1216,0,0.0,1256.0,0.0,0.0
BL085-L,1234,0,0.0,1306.0,0.0,0.0
BL085-M,802,0,0.0,822.0,0.0,0.0
BL085-S,1,0,0.0,460.0,0.0,0.0
BL085-XL,802,0,0.0,846.0,0.0,0.0
BL085-XXL,802,0,0.0,816.0,0.0,0.0
BL086-L,512,0,0.0,490.0,0.0,0.0
BL086-M,512,0,0.0,494.0,0.0,0.0
BL086-S,512,0,0.0,494.0,0.0,0.0
BL086-XL,514,0,0.0,1062.0,0.0,0.0
BL086-XS,512,0,0.0,494.0,0.0,0.0
BL086-XXL,2,0,0.0,568.0,0.0,0.0
BL087-L,1235,0,0.0,1947.0,0.0,0.0
BL087-M,1237,0,0.0,2662.0,0.0,0.0
BL087-S,1,0,0.0,647.0,0.0,0.0
BL087-XL,802,0,0.0,822.0,0.0,0.0
BL087-XS,2,0,0.0,920.0,0.0,0.0
BL087-XXL,804,0,0.0,1728.0,0.0,0.0
BL089-M,1,0,0.0,301.0,0.0,0.0
BL089-XS,1,0,0.0,301.0,0.0,0.0
BL089-XXL,1,0,0.0,273.0,0.0,0.0
BL090-M,3,0,0.0,1419.0,0.0,0.0
BL090-S,2,0,0.0,499.0,0.0,0.0
BL090-XS,1,0,0.0,0.0,0.0,0.0
BL090-XXL,1,0,0.0,460.0,0.0,0.0
BL091-XL,432,0,0.0,435.0,0.0,0.0
BL092-L,802,0,0.0,852.0,0.0,0.0
BL092-M,802,0,0.0,854.0,0.0,0.0
BL092-XL,802,0,0.0,872.0,0.0,0.0
BL092-XXL,802,0,0.0,858.0,0.0,0.0
BL093-L,944,0,0.0,923.0,0.0,0.0
BL093-M,945,0,0.0,1227.0,0.0,0.0
BL093-S,513,0,0.0,767.0,0.0,0.0
BL093-XL,512,0,0.0,494.0,0.0,0.0
BL093-XS,512,0,0.0,494.0,0.0,0.0
BL095-M,1,0,0.0,460.0,0.0,0.0
BL095-XL,1,0,0.0,460.0,0.0,0.0
BL096-S,1,0,0.0,229.0,0.0,0.0
BL096-XL,1,0,0.0,301.0,0.0,0.0
BL097-L,326,0,0.0,361.0,0.0,0.0
BL097-M,651,0,0.0,711.0,0.0,0.0
BL097-XL,652,0,0.0,626.0,0.0,0.0
BL097-XXL,326,0,0.0,358.0,0.0,0.0
BL098-M,327,0,0.0,733.0,0.0,0.0
BL098-S,5,0,0.0,1576.0,0.0,0.0
BL098-XL,2,0,0.0,602.0,0.0,0.0
BL098-XS,1,0,0.0,419.0,0.0,0.0
BL098-XXL,2,0,0.0,602.0,0.0,0.0
BL099-L,328,0,0.0,888.0,0.0,0.0
BL099-M,325,0,0.0,327.0,0.0,0.0
BL099-S,3,0,0.0,777.0,0.0,0.0
BL099-XL,1115,0,0.0,1119.0,0.0,0.0
BL099-XS,1,0,0.0,259.0,0.0,0.0
BL099-XXL,790,0,0.0,791.0,0.0,0.0
BL100-L,978,0,0.0,952.0,0.0,0.0
BL100-M,653,0,0.0,885.0,0.0,0.0
BL100-S,655,0,0.0,1411.0,0.0,0.0
BL100-XL,654,0,0.0,1182.0,0.0,0.0
BL100-XS,652,0,0.0,646.0,0.0,0.0
BL100-XXL,0,0,0.0,0.0,0.0,0.0
BL101-M,2,0,0.0,498.0,0.0,0.0
BL101-S,2,0,0.0,498.0,0.0,0.0
BL101-XS,2,1,249.0,498.0,0.5,0.5
BL101-XXL,1,0,0.0,249.0,0.0,0.0
BL102-L,2,0,0.0,518.0,0.0,0.0
BL102-M,330,0,0.0,1366.0,0.0,0.0
BL102-S,2,1,259.0,518.0,0.5,0.5
BL102-XS,1,0,0.0,259.0,0.0,0.0
BL103-L,5,0,0.0,2417.0,0.0,0.0
BL103-M,392,0,0.0,1281.0,0.0,0.0
BL103-S,393,0,438.1,2284.1,0.0,0.19180421172453047
BL103-XL,9,1,647.0,4779.0,0.1111111111111111,0.13538397154216364
BL103-XS,3,0,438.1,1818.1,0.0,0.24096584346295585
BL103-XXL,812,2,920.0,5486.0,0.0024630541871921183,0.16769959897921982
BL104-L,432,0,1007.62,6474.62,0.0,0.15562612168745038
BL104-M,1303,0,0.0,3030.0,0.0,0.0
BL104-S,428,0,0.0,3438.0,0.0,0.0
BL104-XL,1722,0,973.3299999999999,2713.33,0.0,0.35872157091102075
BL104-XS,1,0,0.0,493.0,0.0,0.0
BL104-XXL,882,0,0.0,2890.0,0.0,0.0
BL107-L,802,0,0.0,804.0,0.0,0.0
BL107-M,803,0,313.33,1448.33,0.0,0.21633881781085804
BL107-S,3,0,0.0,967.0,0.0,0.0
BL107-XL,803,0,0.0,1125.0,0.0,0.0
BL107-XS,3,0,0.0,959.0,0.0,0.0
BL107-XXL,803,0,0.0,1117.0,0.0,0.0
BL109-L,546,0,0.0,4695.0,0.0,0.0
BL109-M,545,0,0.0,4178.0,0.0,0.0
BL109-S,1,0,0.0,487.0,0.0,0.0
BL109-XL,540,0,0.0,1800.0,0.0,0.0
BL109-XS,2,0,0.0,1036.0,0.0,0.0
BL109-XXL,5,0,0.0,2528.0,0.0,0.0
BL110-L,1038,1,636.62,5364.62,0.0009633911368015414,0.11867010151697605
BL110-M,1028,0,0.0,1666.0,0.0,0.0
BL110-S,1031,1,329.0,2645.0,0.0009699321047526673,0.12438563327032136
BL110-XL,1028,0,0.0,1642.0,0.0,0.0
BL110-XS,1027,0,0.0,1345.0,0.0,0.0
BL110-XXL,1,0,313.33,646.3299999999999,0.0,0.4847833150248326
BL111-L,706,0,0.0,1813.0,0.0,0.0
BL111-M,705,0,0.0,1552.0,0.0,0.0
BL111-S,705,1,280.0,1516.0,0.0014184397163120568,0.18469656992084432
BL111-XL,703,0,0.0,973.0,0.0,0.0
BL111-XS,704,0,0.0,1302.0,0.0,0.0
BL113-L,880,0,0.0,2287.0,0.0,0.0
BL113-M,878,0,0.0,1335.0,0.0,0.0
BL113-S,880,0,0.0,2361.0,0.0,0.0
BL113-XL,882,0,0.0,3812.0,0.0,0.0
BL113-XS,880,1,493.0,2854.0,0.0011363636363636363,0.17274001401541697
BL113-XXL,3,0,0.0,1479.0,0.0,0.0
BTM002,2,0,0.0,850.0,0.0,0.0
BTM002-B-L,1,0,0.0,518.0,0.0,0.0
BTM002-B-M,5,1,518.0,2801.0,0.2,0.18493395215994288
BTM002-B-XL,1,0,0.0,518.0,0.0,0.0
BTM002-B-XXL,0,0,0.0,0.0,0.0,0.0
BTM002-B-XXXL,1,0,0.0,518.0,0.0,0.0
BTM002-L,3880,0,0.0,11935.0,0.0,0.0
BTM002-M,3861,0,0.0,5445.0,0.0,0.0
BTM002-S,2627,0,0.0,4808.0,0.0,0.0
BTM002-XL,4433,1,518.0,10550.0,0.00022558087074216106,0.049099526066350714
BTM002-XS,976,0,0.0,1494.0,0.0,0.0
BTM002-XXL,2403,0,0.0,6056.0,0.0,0.0
BTM002-XXXL,3254,0,0.0,11961.0,0.0,0.0
BTM003-B-L,1,0,0.0,0.0,0.0,0.0
BTM003-B-XXXL,1,0,0.0,518.0,0.0,0.0
BTM003-L,636,0,0.0,1920.0,0.0,0.0
BTM003-M,340,0,0.0,909.0,0.0,0.0
BTM003-S,339,0,0.0,361.0,0.0,0.0
BTM003-XL,1607,0,0.0,3019.0,0.0,0.0
BTM003-XXL,979,0,0.0,3366.0,0.0,0.0
BTM003-XXXL,972,0,0.0,1481.0,0.0,0.0
BTM004-XXXL,1,0,0.0,349.0,0.0,0.0
BTM005,4,0,0.0,1700.0,0.0,0.0
BTM005-B-L,1,0,0.0,518.0,0.0,0.0
BTM005-L,3584,0,0.0,13514.0,0.0,0.0
BTM005-M,3141,0,0.0,5688.0,0.0,0.0
BTM005-S,1657,0,0.0,3144.0,0.0,0.0
BTM005-XL,3787,0,0.0,9160.0,0.0,0.0
BTM005-XS,1634,0,0.0,1905.0,0.0,0.0
BTM005-XXL,2304,0,0.0,7318.0,0.0,0.0
BTM005-XXXL,2936,0,0.0,8088.0,0.0,0.0
BTM008,1,0,0.0,350.0,0.0,0.0
BTM008-B-L,2,0,0.0,1036.0,0.0,0.0
BTM008-B-M,2,0,0.0,1036.0,0.0,0.0
BTM008-B-XXL,2,0,0.0,1036.0,0.0,0.0
BTM008-L,975,0,0.0,1486.0,0.0,0.0
BTM008-M,1606,0,0.0,1570.0,0.0,0.0
BTM008-S,974,0,0.0,948.0,0.0,0.0
BTM008-XL,976,0,0.0,2016.0,0.0,0.0
BTM008-XS,974,0,0.0,974.0,0.0,0.0
BTM008-XXL,2523,0,0.0,3577.0,0.0,0.0
BTM008-XXXL,1607,0,0.0,2128.0,0.0,0.0
BTM021,1,0,0.0,425.0,0.0,0.0
BTM021-B-L,1,0,0.0,518.0,0.0,0.0
BTM021-B-XS,2,0,0.0,518.0,0.0,0.0
BTM021-B-XXL,1,0,0.0,518.0,0.0,0.0
BTM021-B-XXXL,1,0,0.0,518.0,0.0,0.0
BTM021-L,2298,0,0.0,6240.0,0.0,0.0
BTM021-M,1657,0,0.0,2008.0,0.0,0.0
BTM021-S,1318,0,0.0,1713.0,0.0,0.0
BTM021-XL,2934,0,0.0,8650.0,0.0,0.0
BTM021-XS,1318,0,0.0,1425.0,0.0,0.0
BTM021-XXL,3130,0,0.0,7663.0,0.0,0.0
BTM021-XXXL,1964,0,0.0,6682.0,0.0,0.0
BTM026,1,0,0.0,425.0,0.0,0.0
BTM026-NP-L,1280,0,0.0,2332.0,0.0,0.0
BTM026-NP-M,428,0,0.0,974.0,0.0,0.0
BTM026-NP-S,427,0,0.0,956.0,0.0,0.0
BTM026-NP-XL,2,0,0.0,1036.0,0.0,0.0
BTM026-NP-XS,1,0,0.0,518.0,0.0,0.0
BTM026-NP-XXL,339,0,0.0,1072.0,0.0,0.0
BTM026-NP-XXXL,2,0,0.0,1036.0,0.0,0.0
BTM027,1,0,0.0,425.0,0.0,0.0
BTM027-NP-L,1610,0,493.34,2810.34,0.0,0.1755445960275269
BTM027-NP-M,976,0,0.0,1027.0,0.0,0.0
BTM027-NP-S,976,0,0.0,1051.0,0.0,0.0
BTM027-NP-XL,2242,0,0.0,2896.0,0.0,0.0
BTM027-NP-XS,976,0,0.0,994.0,0.0,0.0
BTM027-NP-XXL,991,0,0.0,5744.0,0.0,0.0
BTM027-NP-XXXL,993,0,0.0,6726.0,0.0,0.0
BTM029,1,0,0.0,425.0,0.0,0.0
BTM029-NP-L,976,0,0.0,3173.0,0.0,0.0
BTM029-NP-M,428,0,0.0,1475.0,0.0,0.0
BTM029-NP-S,3,0,0.0,1554.0,0.0,0.0
BTM029-NP-XL,985,0,493.33,6581.33,0.0,0.07495901284390845
BTM029-NP-XS,1,0,0.0,518.0,0.0,0.0
BTM029-NP-XXL,1638,0,0.0,7326.0,0.0,0.0
BTM029-NP-XXXL,1282,0,0.0,7058.0,0.0,0.0
BTM030-NP-L,990,0,0.0,5100.0,0.0,0.0
BTM030-NP-M,345,0,0.0,596.0,0.0,0.0
BTM030-NP-S,345,0,0.0,321.0,0.0,0.0
BTM030-NP-XL,991,0,0.0,5404.0,0.0,0.0
BTM030-NP-XS,349,2,568.0,1773.0,0.0057306590257879654,0.320360970107163
BTM030-NP-XXL,991,0,270.48,5654.48,0.0,0.04783463731412969
BTM030-NP-XXXL,995,0,0.0,6609.0,0.0,0.0
BTM031-NP-L,1614,0,0.0,4470.0,0.0,0.0
BTM031-NP-M,661,0,0.0,1175.0,0.0,0.0
BTM031-NP-S,344,0,0.0,377.0,0.0,0.0
BTM031-NP-XL,349,0,0.0,2946.0,0.0,0.0
BTM031-NP-XL.,632,0,0.0,598.0,0.0,0.0
BTM031-NP-XS,345,0,0.0,852.0,0.0,0.0
BTM031-NP-XXL,1837,0,0.0,4894.0,0.0,0.0
BTM031-NP-XXXL,1614,0,0.0,3631.0,0.0,0.0
BTM032-NP-M,0,0,286.67,286.67,0.0,1.0
BTM032-NP-S,8,2,602.0,2442.0,0.25,0.24651924651924653
BTM032-NP-XL,632,0,0.0,630.0,0.0,0.0
BTM032-NP-XS,2,0,0.0,594.0,0.0,0.0
BTM032-NP-XXXL,970,0,0.0,971.0,0.0,0.0
BTM033-NP-L,338,0,0.0,338.0,0.0,0.0
BTM033-NP-XL,338,0,0.0,338.0,0.0,0.0
BTM033-NP-XS,1,0,0.0,297.0,0.0,0.0
BTM033-NP-XXL,1,0,0.0,297.0,0.0,0.0
BTM033-NP-XXXL,3,0,0.0,899.0,0.0,0.0
BTM035-NP-L,344,0,0.0,312.0,0.0,0.0
BTM035-NP-M,344,0,0.0,312.0,0.0,0.0
BTM035-NP-S,344,0,0.0,314.0,0.0,0.0
BTM035-NP-XL,344,0,0.0,312.0,0.0,0.0
BTM035-NP-XS,346,0,0.0,893.0,0.0,0.0
BTM035-NP-XXL,701,0,0.0,671.0,0.0,0.0
BTM035-NP-XXXL,347,0,0.0,1219.0,0.0,0.0
BTM036-PP-L,861,0,0.0,1967.0,0.0,0.0
BTM036-PP-M,1,0,0.0,360.0,0.0,0.0
BTM036-PP-S,2,0,0.0,737.0,0.0,0.0
BTM036-PP-XL,860,0,0.0,1652.0,0.0,0.0
BTM036-PP-XXL,863,2,705.0,2657.0,0.002317497103128621,0.26533684606699287
BTM036-PP-XXXL,861,0,342.86,2298.86,0.0,0.1491434885116971
BTM037-PP-L,880,0,0.0,1758.0,0.0,0.0
BTM037-PP-M,1,0,0.0,345.0,0.0,0.0
BTM037-PP-S,1,0,0.0,345.0,0.0,0.0
BTM037-PP-XL,3,0,0.0,1050.0,0.0,0.0
BTM037-PP-XS,1,0,0.0,360.0,0.0,0.0
BTM037-PP-XXL,1,0,0.0,345.0,0.0,0.0
BTM037-PP-XXXL,882,0,342.86,2813.86,0.0,0.12184685805263944
BTM038-PP-L,2535,0,0.0,6884.0,0.0,0.0
BTM038-PP-M,1668,0,0.0,2516.0,0.0,0.0
BTM038-PP-S,6,0,721.9,2989.9,0.0,0.24144620221412086
BTM038-PP-XL,2540,0,0.0,9016.0,0.0,0.0
BTM038-PP-XS,429,0,0.0,818.0,0.0,0.0
BTM038-PP-XXL,863,0,342.86,3179.86,0.0,0.10782235695911141
BTM038-PP-XXXL,1758,0,359.05,10888.05,0.0,0.032976520129867154
BTM039-PP-L,3367,0,342.86,8760.86,0.0,0.039135427343890895
BTM039-PP-M,2481,0,1028.58,6182.58,0.0,0.166367438836214
BTM039-PP-S,1292,0,342.86,3462.86,0.0,0.09901064438065645
BTM039-PP-XL,2493,0,1371.44,11455.44,0.0,0.11971953936295769
BTM039-PP-XS,430,0,685.72,1503.72,0.0,0.45601574761258745
BTM039-PP-XXL,1660,0,0.0,8007.0,0.0,0.0
BTM039-PP-XXXL,877,0,342.86,8556.86,0.0,0.040068436318930076
BTM040-PP-L,1313,0,0.0,4484.0,0.0,0.0
BTM040-PP-M,448,0,0.0,743.0,0.0,0.0
BTM040-PP-S,449,0,0.0,1191.0,0.0,0.0
BTM040-PP-XL,1321,0,0.0,7628.0,0.0,0.0
BTM040-PP-XS,448,0,0.0,785.0,0.0,0.0
BTM040-PP-XXL,1323,0,0.0,8310.0,0.0,0.0
BTM040-PP-XXXL,1318,0,0.0,6336.0,0.0,0.0
BTM041-PP-L,449,0,0.0,408.0,0.0,0.0
BTM041-PP-M,447,0,0.0,410.0,0.0,0.0
BTM041-PP-S,448,1,345.0,807.0,0.002232142857142857,0.4275092936802974
BTM041-PP-XL,450,0,315.24,1717.24,0.0,0.18357364142461158
BTM041-PP-XS,448,0,0.0,804.0,0.0,0.0
BTM041-PP-XXL,449,0,0.0,1108.0,0.0,0.0
BTM041-PP-XXXL,451,0,0.0,1785.0,0.0,0.0
BTM042-PP-L,2928,1,329.0,5341.0,0.00034153005464480874,0.061598951507208385
BTM042-PP-M,2068,0,0.0,3860.0,0.0,0.0
BTM042-PP-S,448,0,0.0,769.0,0.0,0.0
BTM042-PP-XL,2926,0,0.0,4420.0,0.0,0.0
BTM042-PP-XS,449,0,0.0,1122.0,0.0,0.0
BTM042-PP-XXL,1306,0,0.0,1669.0,0.0,0.0
BTM042-PP-XXXL,2187,0,0.0,3699.0,0.0,0.0
BTM043-PP-L,788,0,0.0,756.0,0.0,0.0
BTM043-PP-M,788,0,0.0,750.0,0.0,0.0
BTM043-PP-S,2,0,0.0,756.0,0.0,0.0
BTM043-PP-XL,790,0,360.95,1874.95,0.0,0.19251180031467505
BTM043-PP-XS,1,0,0.0,377.0,0.0,0.0
BTM043-PP-XXL,4,0,0.0,1512.0,0.0,0.0
BTM043-PP-XXXL,1,0,0.0,379.0,0.0,0.0
BTM044-PP-L,1726,0,0.0,5752.0,0.0,0.0
BTM044-PP-M,3,0,0.0,1080.0,0.0,0.0
BTM044-PP-XL,1727,0,0.0,6129.0,0.0,0.0
BTM044-PP-XS,1,0,0.0,360.0,0.0,0.0
BTM044-PP-XXL,1727,0,0.0,6124.0,0.0,0.0
BTM044-PP-XXXL,1728,0,0.0,6496.0,0.0,0.0
BTM045-PP-L,447,0,0.0,410.0,0.0,0.0
BTM045-PP-M,448,0,0.0,742.0,0.0,0.0
BTM045-PP-S,447,0,0.0,452.0,0.0,0.0
BTM045-PP-XL,453,0,0.0,2442.0,0.0,0.0
BTM045-PP-XS,447,0,0.0,439.0,0.0,0.0
BTM045-PP-XXL,449,0,0.0,1135.0,0.0,0.0
BTM045-PP-XXXL,449,0,0.0,1113.0,0.0,0.0
BTM046-PP-L,2514,0,0.0,6502.0,0.0,0.0
BTM046-PP-M,789,0,0.0,766.0,0.0,0.0
BTM046-PP-S,429,0,0.0,455.0,0.0,0.0
BTM046-PP-XL,1656,0,0.0,5199.0,0.0,0.0
BTM046-PP-XXL,1301,0,0.0,6949.0,0.0,0.0
BTM046-PP-XXXL,1730,0,0.0,7382.0,0.0,0.0
BTM047-PP-L,2175,0,0.0,6853.0,0.0,0.0
BTM047-PP-M,448,0,0.0,753.0,0.0,0.0
BTM047-PP-S,449,0,0.0,1113.0,0.0,0.0
BTM047-PP-XL,3053,0,0.0,7044.0,0.0,0.0
BTM047-PP-XS,448,0,0.0,790.0,0.0,0.0
BTM047-PP-XXL,2176,0,0.0,6948.0,0.0,0.0
BTM047-PP-XXXL,2174,0,0.0,6527.0,0.0,0.0
BTM048-PP-L,864,0,0.0,2808.0,0.0,0.0
BTM048-PP-M,2,0,0.0,676.0,0.0,0.0
BTM048-PP-XL,2606,0,0.0,7510.0,0.0,0.0
BTM048-PP-XS,1,0,0.0,345.0,0.0,0.0
BTM048-PP-XXL,1728,0,0.0,6530.0,0.0,0.0
BTM048-PP-XXXL,2607,1,345.0,7969.0,0.0003835826620636747,0.04329275944284101
CH201-RED-M,2,0,0.0,602.0,0.0,0.0
CH202-ORANGE-L,362,0,0.0,941.0,0.0,0.0
CH202-ORANGE-M,360,0,0.0,368.0,0.0,0.0
CH202-ORANGE-S,360,0,0.0,368.0,0.0,0.0
CH202-ORANGE-XL,360,0,0.0,364.0,0.0,0.0
CH202-ORANGE-XXL,293,0,0.0,597.0,0.0,0.0
CH203-MAROON-L,2,0,0.0,546.0,0.0,0.0
CH203-MAROON-S,1,0,0.0,301.0,0.0,0.0
CH204-PURPLE-L,1,0,0.0,284.0,0.0,0.0
CH204-PURPLE-M,2,0,0.0,585.0,0.0,0.0
CH204-PURPLE-S,1,0,0.0,284.0,0.0,0.0
CH205-YELLOW-S,2,0,0.0,273.0,0.0,0.0
CH205-YELLOW-XL,2,0,0.0,618.0,0.0,0.0
CH205-YELLOW-XXL,295,0,0.0,1186.0,0.0,0.0
CH206-GREEN-M,1,0,0.0,301.0,0.0,0.0
CH206-GREEN-XXL,1,0,0.0,273.0,0.0,0.0
CH207-PINK-L,1,0,0.0,301.0,0.0,0.0
CH207-PINK-XXL,292,0,0.0,296.0,0.0,0.0
CH208-MUSTARD-L,3,0,0.0,847.0,0.0,0.0
CH208-MUSTARD-M,362,0,0.0,974.0,0.0,0.0
CH208-MUSTARD-S,1,0,0.0,301.0,0.0,0.0
CH208-MUSTARD-XXL,293,0,0.0,597.0,0.0,0.0
CH209-BIEGE-L,1,1,301.0,301.0,1.0,1.0
CH209-BIEGE-S,359,0,0.0,364.0,0.0,0.0
CH209-BIEGE-XL,1,0,0.0,273.0,0.0,0.0
CH209-BIEGE-XXL,651,0,0.0,655.0,0.0,0.0
CH213-BROWN-L,2,0,0.0,574.0,0.0,0.0
CH213-BROWN-M,361,0,0.0,637.0,0.0,0.0
CH213-BROWN-S,362,0,0.0,667.0,0.0,0.0
CH213-BROWN-XXL,292,0,0.0,295.0,0.0,0.0
CMB5-JNE3826,2128,0,0.0,10465.0,0.0,0.0
CMB5-JNE3827,2432,0,0.0,11960.0,0.0,0.0
CMB5-JNE3828,2736,0,0.0,13455.0,0.0,0.0
CMB5-JNE3829,608,0,0.0,2990.0,0.0,0.0
CMB5-JNE3830,1834,0,0.0,11960.0,0.0,0.0
CMB5-JNE3831,912,0,0.0,4485.0,0.0,0.0
CMB5-JNE3832,1216,0,0.0,5980.0,0.0,0.0
CMB5-JNE3839,2663,0,0.0,16548.0,0.0,0.0
